KEY;TR;EN
recyclabledisposaltypes;Dönüştürülebilir Atık Türleri;Recyclable Disposal Types
disposaltype;Atık Türü;Disposal Type
disposaltypepaper;Kağıt;Paper
disposaltypeplastic;Plastik;Plastic
disposaltypeglass;Cam;Glass
disposaltypemetal;Metal;Metal
disposaltypebattery;Pil;Battery
disposaltypeelectronic;Elektronik;Electronic
disposaltypemedical;Tıbbi;Medical
disposaltypeorganic;Organik;Organic
disposaltypetextile;Tekstil;Textile
disposaltypewood;Ahşap;Wood
weight;Ağırlık;Weight
volume;Hacim;Volume
date;Tarih;Date
address;Adres;Address
min;Minimum;Minimum
max;Maksimum;Maximum
logintype;Giriş Türü;Login Type
login;Giriş Yap;Login
register;Kaydol;Register
logintype;Giriş Türü;Login Type
personallogin;Bireysel (Kullanıcı);Personal (User)
corporatelogin;Kurumsal (Şirket); Corporate (Company)
guest;Misafir;Guest
personalregister;Bireysel Kayıt;Personal Registration
corporateregister;Kurumsal Kayıt;Corporate Registration
tcextended;TC Kimlik Numarası;TR ID Number
tc;TCKN;TCID No
taxno;Vergi Kimlik Numarası;Tax ID Number
password;Parola;Password
noaccount;Hesabın yok mu?;Don't have an account?
fname;İsim;First Name
mname;İkinci İsim;Middle Name
lname;Soyisim;Last Name
birthdate;Doğum Tarihi;Birth Date
email;E-Posta;Email
phonenumber;Telefon;Phone
province;İl;Province
district;İlçe;District
neighborhood;Mahalle;Neighborhood
street;Sokak;Street
building;Bina;Building
buildingno;Bina No;Building No
floorno;Kat No;Floor No
doorno;Daire No;Door No
gender;Cinsiyet;Gender
companyname;Şirket İsmi;Company Name
fax;Faks;Fax
createnewaccount;Yeni Hesap Oluştur;Create New Account
dashboard;Ana Kontrol Paneli;Main Dashboard
livestream;Canlı Akış;Live Stream
disposaldate;Atılma Tarihi;Date of Disposal
available;Boşta;Available
reserve;Rezerve Et;Reserve
reserved;Rezerve;Reserved
score;Puan;Score
neighbors;Komşular;Neighbors
companies;Şirketler;Companies
leaderboards;Liderlik Tabloları;Leaderboards
recentdisposals;Son Atılanlar;Recent Disposals
recentreservations;Son Rezerveler;Recent Reservations
recentrecycles;Son Dönüşümler;Recent Recycles
reservationdate;Rezerve Tarihi;Reservation Date
reserver;Rezerve Eden;Reserver
recycledate;Dönüşüm Tarihi;Recycle Date
gainedscore;Kazanılan Puan;Score Gained
recycler;Dönüştüren;Recycler
noaccess;Erişim Yok;No Access
recycle;Geri Dönüştür;Recycle
recycled;Geri Dönüştürüldü;Recycled
logout;Çıkış;Log Out
yes;Evet;Yes
no;Hayır;No
userdashboard;Kullanıcı Paneli;User Dashboard
companydashboard;Kurumsal Panel;Corporate Dashboard
welcome;Hoş Geldiniz, {0};Welcome, {0}
myprofile;Profilim;My Profile
returntomainmenu;Ana Panele Dön;Return to Main Dashboard
userid;Kullanıcı ID;User ID
companyid;Şirket ID;Company ID
fullname;İsim Soyisim;Full Name
age;Yaş;Age
deleteacc;Hesabı Sil;Delete Account
profileinfo;Profil Bilgileri;Profile Information
edit;Düzenle;Edit
editprofile;Profili Düzenle;Edit Profile
generalinfo;Genel Bilgiler;General Information
addressinfo;Adres Bilgileri;Address Information
back;Geri;Back
apply;Uygula;Apply
changepass;Parolayı Değiştir;Change Password
confirmchangepass;Parolanızı değiştirmek istediğinize emin misiniz?;Are you sure you want to change your password?
currpass;Mevcut Parolanız;Current Password
newpass;Yeni Parolanız;New Password
again;Tekrar;Again
ok;Tamam;OK
cancel;İptal;Cancel
yearsold;{0} Yaşında;{0} Years Old
persdisposalmng;Bireysel Atık Yönetimi;Personal Disposal Management
corpdisposalmng;Kurumsal Atık Yönetimi;Corporate Disposal Management
disposalhstry;Atık Geçmişim;My Disposal History
stats;İstatistiklerim;My Stats
nleaderboard;Mahalle Sıralaması;Neighborhood Leaderboard
nghleaderboard;{0} Mahallesi Liderlik Tablosu;{0} Neighborhood Leaderboard
lastmonth;Son 1 Ay;Last Month
lastyear;Son 1 Yıl;Last Year
alltime;Tüm Zamanlar;All Times
totaldisposal;Atılan Toplam Çöp;Total Discarded Disposal
totalreservationreceived;Alınan Toplam Rezervasyonlar;Total Reservations Received
totalreservation;Yapılan Toplam Rezervasyonlar;Total Reservations
totalrecycles;Toplam Geri Dönüşüm;Total Recyles
totaldiscardedweight;Atılan Toplam Ağırlık;Total Discarded Weight
totaldiscardedvolume;Atılan Toplam Hacim;Total Discarded Volume
contscore;Katkı Puanı;Contribution Score
addnewdisposal;Yeni Atık Ekle;Add New Disposal
confirmadddisposal;Bu atığı eklemek istediğinize emin misiniz?;Are you sure you want to add this disposal to the system?
noreservations;Rezerve edilmiş atık yok.;No reserved disposals.
norecycles;Geri dönüştürülmüş atık yok.;No recycled disposals.
scorevalue;Puan Değeri;Score Value
dofilter;Filtrele;Filter
disposalfilter;Atık Filtreleme;Disposal Filter
showonlyabletorecycle;Sadece geri dönüştürebileceğim atıkları listele.;List only disposals that I can recycle.
